date,local_time,timezone,channel,title,audience,angle,asset_ids,cta,gate,status
2026-09-14,09:00,America/New_York,Blog,Introduce the buying conversation,Secondhand buyers exploring Tix,"Use the complete article to explain the Sony brief, the personal limit and the product direction.",blog,Join the waitlist,Approve article and verify the destination before CMS handoff.,draft_not_scheduled
2026-09-14,10:00,America/New_York,Changelog,Explain the preview,Returning product readers,Give returning readers the short account of what the preview demonstrates and what is planned next.,changelog,Join the waitlist,Confirm preview release state and approve the entry.,draft_not_scheduled
2026-09-14,10:30,America/New_York,Login surface,Introduce Tix in motion,Visitors to the intended entry surface,Use the accepted short animation as the visual introduction.,animation,Join the waitlist,"Creative approved. Login aspect ratio, crop, muted behavior and HTML CTA integration still require packaging.",draft_not_scheduled
2026-09-15,10:00,America/New_York,Email · leads,Connect the product to the reader's work,"Opted-in leads, one mutually exclusive segment each","Choose the SMB equipment, agency shoot or reseller evaluation variant from verified audience fields.",email-lead_smb|email-lead_agency|email-lead_reseller_affiliate,Join the waitlist,"Approve each variant, map a real audience and configure the ESP footer. Do not infer a partner program.",draft_not_scheduled
2026-09-16,11:00,America/New_York,LinkedIn,Write the buying brief,People buying equipment for work,Use the agency equipment example as a practical prompt readers can adapt.,social-linkedin,Join the waitlist,Approve the written post and linked destination.,draft_not_scheduled
2026-09-17,12:00,America/New_York,Instagram / TikTok,Dinner with Tix,Secondhand shoppers,Show the human moment that starts the buying conversation.,social-video,Join the waitlist,The 55-second 1080p master is approved. Create and review a ≤30-second social version and platform crop before this placement.,draft_not_scheduled
2026-09-18,10:00,America/New_York,In-app popup,Invite the first brief,Eligible viewers who request the announcement,Show the conversation graphic when the reader opens product updates.,popup,Join the waitlist,Approve graphic and copy. Bind to real targeting and respect dismissal; suppress people already enrolled.,draft_not_scheduled
2026-09-21,11:00,America/New_York,X,What the price comparison means,Readers assessing the product,Explain the role of the buyer's own limit in the preview.,social-x,Join the waitlist,Approve the exact post and destination.,draft_not_scheduled
2026-09-23,10:00,America/New_York,Email · returning readers,Bring a real equipment need,Verified returning preview readers; required customer labels are test contexts,Use the SMB or agency exercise to help readers form their own request.,email-customer_smb|email-customer_agency,Join the waitlist,Verify audience relationship before mapping customer segments. Suppress confirmed waitlist members from this acquisition CTA.,draft_not_scheduled
2026-09-24,11:00,America/New_York,Threads,Ask what would change the decision,Secondhand buyers with a current purchase in mind,Invite specific buyer input about the details of a used-camera brief.,social-threads,Join the waitlist,Approve the exact post. Review replies manually.,draft_not_scheduled
2026-09-25,14:00,America/New_York,Campaign review,Learn from the first response,Gabe and the product owner,"Review confirmed signups, source-tagged visits and the questions people ask. Use actual results to plan the next piece.",campaign,Review actual results,No results or conversion targets are claimed. Collect evidence only after a real launch.,draft_not_scheduled
