gap_id,affected_claim,state,competing_claims_or_missing_fact,source_basis,materiality,treatment,consequence_if_wrong,decision_owner,next_evidence_or_action,status,last_updated
G1,Real Drive source folder link+perms,Unresolved fact,No confirmed Reggie share; fixture in use,questions-for-reggie.md Q1; tue-wed-checklist,high,Placeholder — fixture path in SOP,Invented or wrong sources in pack,Reggie via Gabe,Gabe sends Qs; Reggie shares folder,open,2026-09-07
G2,Brand/style/newsletters/popup examples ETA,Unresolved fact,Voice pack may be incomplete,questions-for-reggie.md Q2,high,Placeholder + honesty row,Voice drift / off-brand copy,Reggie,ETA or samples in folder,open,2026-09-07
G3,HubSpot sandbox invite + draft-only,Unresolved fact,Sandbox beat may be skipped,questions-for-reggie.md Q3; sandbox-checklist,high,Confirm or skip status,Production send risk if wrong account,Reggie,Invite + confirm draft-only,open,2026-09-07
G4,Barry review surface (Notion/Frame/Drive; pack vs per-asset),Bounded assumption,Templates default Notion+Drive one pack; Reggie may differ,questions-for-reggie.md Q4; barry templates,high,Confirm,Wrong queue / missed approve,Reggie/Barry,Confirm surface,open,2026-09-07
G5,Which real feature for Wed E2E,Unresolved fact,Fixture FEATURE_NAME placeholders,questions-for-reggie.md Q5,high,Placeholder fixture,Wrong feature demo,Reggie,Name release,open,2026-09-07
G6,Loom + GitHub outline paths for that release,Unresolved fact,Fixture sources only,questions-for-reggie.md Q6,high,Placeholder,Claims without evidence,Reggie,Paths/links,open,2026-09-07
G7,Login animation format+constraints,Unresolved fact,Adapter allows Lottie/MP4/still or labelled mock,questions-for-reggie.md Q7; design O5,medium,Placeholder / held OK,Wrong asset type,Reggie,Format+max length,open,2026-09-07
G8,In-app popup size+placement,Unresolved fact,Honesty: from Reggie,questions-for-reggie.md Q8; still-needs-human,medium,Placeholder / held OK,Wrong placement,Reggie,Size+placement,open,2026-09-07
G9,Channel priority if sequencing,Bounded assumption,Cut-order in decision.md used if clock slips,questions-for-reggie.md Q9; decision.md,medium,Confirm,Wrong channel dropped first,Reggie/Gabe,Priority answer or use cut-order,open,2026-09-07
G10,Off-limits claims list,Unresolved fact,Forbidden list must be Barry/Reggie seeded,questions-for-reggie.md Q10; Claims Lock,critical,Stop publication of real claims until seeded,False/pricing/partner claims,Barry/Reggie,Seed forbidden list before real Claims Lock,open,2026-09-07
G11,SOP process owner + distribution approver seats,Unresolved fact,Owner/approver metadata UNRESOLVED,no evidence names ops owner,high,Confirm,Unowned SOP / cannot approve distribution,Gabe/Reggie,Name owner+approver,open,2026-09-07
G12,Durable post-Wed Run trigger (Notion vs Gumloop vs Drive),Bounded assumption,Demo leave-behind Notion Button not evidenced live clickable; manual rehearsal is honest path,design self-review; trigger doc,medium,Confirm post-Wed,Marketer cannot find Run,Gabe/Reggie/ops,Demonstrate one trigger once; record trigger_used; pick durable path post-Wed,open,2026-09-07
A1,Scope B + recorded HOW are binding,Human decision,Tom thin C superseded for target,DESIGN-LOCK; GABE-SCOPE,critical,Resolve — locked,Scope thrash,Gabe,Do not reopen without Gabe,closed-locked,2026-09-07
A2,Writer ≠ Barry; WIP=1; Slack ≠ approve,Human decision,None material,DESIGN-LOCK; barry templates,critical,Resolve — locked,Approval laundering,Barry/Gabe,Encode in SOP (done),closed-locked,2026-09-07
A3,No auto-publish; CIO ≠ Vista ESP,Human decision,None,design §4 §9; sandbox-checklist,critical,Resolve — locked,Unauthorized send / wrong ESP,Gabe/Reggie,Encode refuse paths (done),closed-locked,2026-09-07
A4,Validators/package are crew-run not marketer terminal,Interpretation,SOP said marketer no terminal while listing local scripts; leave-behind says crew orchestrator picks up,notion-run-leavebehind.md; review-report R3; work/scripts present,high,Resolve in v0.1.1 prose — crew-run/manual demo; marketer confirms row,Marketer blocked or false automation claim,Builder editorial; process owner when named,Non-terminal Run→validate→package path if/when wired,closed-editorial-0.1.1,2026-09-07
A5,Tom advises cut-order; Writer lead/Scribe owns E5 hold,Evidence-backed fact + interpretation,Named in D7/E5 but missing from Roles in 0.1.0,decision.md Tom contingency; eggbot-wire Scribe; questions-for-reggie Scribe draft; review-report R6,medium,Resolve in v0.1.1 Roles table with bounds,Escalation dead-end / invented seat,Builder editorial,None for draft; owner may rename seats later,closed-editorial-0.1.1,2026-09-07
