source_id,original_name,working_name,source_class,date_or_period,scope,authority_owner,approval_state,currency,relevance,sensitivity,extraction_state,sha256,claim_notes
SRC-001,DESIGN-LOCK.md,DESIGN-LOCK.md,normative,2026-09-07,Vista design locks §1-§5,Gabe,approved,current,critical,internal,examined,,Gabe-approved locks: Scope B; HOW recorded; Barry HITL; integrations; handoff must-names
SRC-002,2026-09-07-vista-launch-factory-design.md,2026-09-07-vista-launch-factory-design.md,normative,2026-09-07,Full factory design,Gabe via Nova,SPEC APPROVED,current,critical,internal,examined,,Primary spine; six outputs; recording; integrations; human-gaps; SoT sketch
SRC-003,2026-09-07-vista-launch-factory-plan.md,2026-09-07-vista-launch-factory-plan.md,normative/interpretive,2026-09-07,Implementation plan + file tree,Nova/crew,plan for build,current,high,internal,examined-partial,,Schemas; validators; fixture rules; global constraints; handoff placeholder
SRC-004,GABE-SCOPE.md,GABE-SCOPE.md,normative,2026-09-07,Scope B + HOW lock,Gabe,locked,current,high,internal,examined,,Overrides Tom thin C for target scope
SRC-005,decision.md,decision.md,normative,2026-09-07,Scope + cut-order contingency,Gabe/Tom,Gabe lock + Tom contingency,current,high,internal,examined,,Cut-order recovery; never quiet thin C
SRC-006,questions-for-reggie.md,questions-for-reggie.md,descriptive,2026-09-07,Reggie access+judgment Qs,Gabe (draft),do-not-send draft,current,critical-open,client,examined,,Blanks = fixture-label; unanswered at SOP draft time
SRC-007,still-needs-human.md,still-needs-human.md,normative,2026-09-07,Human-gaps table,design §5,approved content,current,high,client-honesty,examined,,Publish stops at package
SRC-008,claims-lock-template.md,claims-lock-template.md,normative,2026-09-07,Barry Claims Lock UI copy,design/plan,template,current,high,internal,examined,,Writer≠Barry; Slack≠approve
SRC-009,approve-pack-template.md,approve-pack-template.md,normative,2026-09-07,Barry pack approve,design/plan,template,current,high,internal,examined,,Named Request Changes; WIP=1
SRC-010,shot-list.md,shot-list.md,normative,2026-09-07,Recording contract,DESIGN-LOCK §3,approved,current,medium,internal,examined,,Pre-bake; HubSpot last; STOP
SRC-011,sandbox-checklist.md,sandbox-checklist.md,normative,2026-09-07,HubSpot sandbox hygiene,Apiana/design,checklist,current,high,credentials-adjacent,examined,,Draft-only; CIO refuse
SRC-012,notion-run-leavebehind.md,notion-run-leavebehind.md,normative,2026-09-07,Run trigger options,design §4,leave-behind,current,high,internal,examined,,Who clicks Run; re-run one output; builder≠maintainer
SRC-013,campaign-template.md,campaign-template.md,normative,2026-09-07,Notion SoT field map,plan,template,current,high,internal,examined,,Status enum alignment; barry_wip=1
SRC-014,tue-wed-checklist.md,tue-wed-checklist.md,normative,2026-09-07,Reggie access gates,prep,checklist,current,high,internal,examined,,Gates block real-feature swap
SRC-015,FIXTURE_LABEL.md,FIXTURE_LABEL.md,normative,2026-09-07,Fixture labelling rule,plan Task fixture,active,current,critical,internal,examined,,Not real Vista product facts
SRC-016,eggbot-wire-marketplace-hires.md,eggbot-wire-marketplace-hires.md,descriptive,2026-09-07,Bot partner map,eggbot,wired note,current,medium,internal,examined,,Writer≠Barry reminder; not marketer Run path
SRC-017,work/schemas/*.json,n/a-path-ref,behavioral/normative,2026-09-07,Status+artifact enums,plan implemented,in tree,current,high,internal,referenced-not-copied-to-flat-stage,,release_campaign status enum; six slots; hubspot_sandbox
SRC-018,work/adapters/*.md,n/a-path-ref,behavioral,2026-09-07,Fixture adapter stubs,plan,stubs,current,medium,fixture,referenced,,O1-O6 shape for recording
SRC-019,review-report.md,review-report.md,review,2026-09-07,Independent Conditional pass on v0.1.0; findings R1-R8,sop-reviewer,verdict for 0.1.0 only — void for 0.1.1 SHA,prior-version,high,internal,examined,,Repair v0.1.1 addresses R3-R7; R1/R2/G11/G1-G10/G12 remain open
SRC-020,VISTA-LAUNCH-FACTORY-HANDOFF-SOP.md,VISTA-LAUNCH-FACTORY-HANDOFF-SOP.md,canonical-draft,2026-09-07,Working Draft v0.1.1 marketer handoff SOP,sop-builder (not owner-approved),Working Draft,current,critical,internal,self,c38f1603c8de2b80c78229ecf2af234264bb6da5bd7346974ef03ecb093169e0,Lint 0/0; not Approved for Distribution; not Ready for Owner Review
